编号,价格,是否合租,面积,楼层,小区,区域,户型(室),户型(厅),户型(卫),地铁(号线),到地铁的距离
114,1570,合,10,3,罗马家园,沥滘,3,1,1,3,600
115,1590,合,8,4,省农业科学院西区,华师,4,1,1,3,600
116,1660,合,13,4,怡新花园怡豪阁,梅花园,4,1,1,3,300
117,1530,合,12,2,五仙花园,天平架,4,1,1,6,850
118,1620,合,7,22,帝景大厦,淘金,3,1,1,5,150
119,1740,合,9,2,龙口小区,岗顶,4,1,1,3,200
120,1530,合,13,18,金碧花园第二金碧,石溪,4,1,1,-1,300
121,1740,合,20,4,东圃法院宿舍小区,东圃,4,1,1,5,700
122,1710,合,10,10,凯城华庭,黄花岗,4,1,1,6,50
123,1710,合,10,8,育龙居,植物园,4,1,1,6,300
124,1570,合,8,9,兴禺大厦,广州东站,4,1,1,1,650
125,1690,合,29,8,汇和大厦,江夏,5,1,1,2,250
126,1520,合,8,6,动感华庭,江泰路,3,1,1,2,500
127,1520,合,12,20,天雅居C区,黄村（广州）,4,1,1,4,1100
128,1520,合,10,14,旭景家园A区,黄村（广州）,5,1,1,4,800
129,1520,合,8,14,穗园小区,华师,4,1,1,3,850
130,1280,合,13,5,白云公司宿舍,同和,4,1,1,3,250
131,1530,合,9,3,金碧花园第三金碧,石溪,3,1,1,-1,300
132,1320,合,7,7,罗马家园,沥滘,4,1,1,3,600
133,1590,合,9,10,中旅侨苑,昌岗,3,1,1,8,500
134,1260,合,6,16,碧蓝映居,同福西,3,1,1,8,300
135,1680,合,9,7,泓景花园,赤岗,5,1,1,8,700
136,1560,合,9,10,光大花园中海锦榕湾,沙园,4,1,1,8,350
137,1220,合,8,5,鸿燕居,燕塘,3,1,1,3,200
138,1590,合,8,4,愉景雅苑,鹭江,4,1,1,8,500
139,1920,合,21,18,富力现代广场,凤凰新村,4,1,1,8,300
140,1560,合,18,5,东兴南小区,五羊邨,4,1,1,5,400
141,1500,合,7,13,信和广场,昌岗,3,1,1,8,200
142,1420,合,8,4,加拿大花园,华景路,4,1,1,11,1000
143,1510,合,11,18,岭南新世界,嘉禾望岗,4,1,1,2,750
144,1560,合,11,8,金碧花园第三金碧,石溪,3,1,1,-1,300
145,1590,合,9,4,华乐苑(楼梯),鹭江,4,1,1,8,600
146,1770,合,15,15,东晓花园,晓港,4,1,1,8,650
147,1550,合,9,5,育龙居,植物园,4,1,1,6,300
148,1840,合,15,5,广东省政府大院,体育西路,4,1,1,1,850
149,1780,合,8,12,华景大厦,五羊邨,4,1,1,5,-1
150,1340,合,7,10,尚领时代,石溪,4,1,1,-1,550
151,1800,合,14,5,恒安大厦,天河公园,4,1,1,21,450
152,1570,合,10,16,华翠街小区,天河公园,4,1,1,5,1100
153,2230,合,22,2,骏景花园1,车陂南,4,1,1,4,900
154,1570,合,10,8,晓港湾晓城大厦,东晓南,4,1,1,2,150
155,1580,合,12,15,豪景花园,天平架,3,1,1,6,750
156,1560,合,7,11,中海名都,市二宫,4,1,1,2,750
157,1620,合,9,24,鸿景园,华师,4,1,1,3,550
158,1620,合,7,5,芭堤水岸,鹭江,4,1,1,8,950
159,1140,合,11,4,同和云苑新村,同和,5,1,1,3,400
160,1660,合,15,5,青松园,沙河顶,3,1,1,-1,-1
161,1150,合,8,3,景观苑,飞翔公园,4,1,1,2,800
162,1540,合,16,8,五仙花园,天平架,3,1,1,6,850
163,1650,合,8,24,鸿景园,华师,4,1,1,3,550
164,1310,合,8,20,天河广场,车陂,3,1,1,4,800
165,1350,合,14,7,黄埔雅苑,大沙东,4,1,1,5,550
166,1300,合,11,8,美景花苑,车陂,4,1,1,4,250
167,1360,合,14,11,东圃顺景大厦,东圃,4,1,1,5,1300
168,1590,合,10,6,中海康城花园,黄村（广州）,3,1,1,4,450
169,1390,合,10,9,擎山苑,京溪南方医院,3,1,1,3,800
170,1280,合,10,4,京溪尚苑,京溪南方医院,4,1,1,3,700
171,1370,合,11,2,倚绿山庄,同和,3,1,1,3,550
172,1120,合,14,1,同和云苑新村,同和,4,1,1,3,400
173,1420,合,15,4,梅园大厦,梅花园,3,1,1,3,850
174,1330,合,11,14,燕东大厦,燕塘,3,1,1,3,650
175,1400,合,10,1,橡树园,燕塘,3,1,1,3,900
176,1660,合,14,5,逸景翠园,鹭江,5,1,1,8,1350
177,1610,合,11,11,恒骏花园,京溪南方医院,5,1,2,3,300
178,1480,合,7,11,翠城花园,宝岗大道,4,1,1,8,350
179,2010,合,12,12,华景大厦,五羊邨,4,1,1,5,-1
180,1410,合,15,6,和辉花园,东晓南,4,1,1,2,1100
181,1320,合,7,7,华景新城芳满庭园,华景路,4,1,1,11,900
182,1570,合,6,15,侨怡苑,林和西,3,1,1,3,700
183,1990,合,12,14,祥龙花园,林和西,4,1,1,3,250
184,1380,合,12,6,云景花园云桦苑,京溪南方医院,3,1,1,3,550
185,1410,合,12,11,擎山苑,京溪南方医院,3,1,1,3,800
186,1590,合,10,8,朗晴居一期,市二宫,4,1,1,2,350
187,1560,合,12,2,先烈东横路40号大院,沙河顶,4,1,1,6,450
188,1830,合,18,6,叠彩园金桦轩,鹭江,4,1,1,8,1050
189,1840,合,8,12,广东商业大厦,东山口,4,1,2,1,450
190,1400,合,10,6,景晖苑小区,天河客运站,4,1,1,3,900
191,1310,合,12,6,润祥大厦,京溪南方医院,4,1,1,3,50
192,1900,合,12,11,百利华庭,市二宫,3,1,1,-1,-1
193,1310,合,19,2,东方花园又一村,番禺广场,4,1,1,3,850
194,1780,合,10,12,贤人阁,岗顶,4,1,1,3,400
195,1800,合,12,13,高教花园,磨碟沙,4,1,1,8,250
196,1320,合,11,2,春晖闲庭,永泰,5,1,1,3,300
197,1990,合,18,10,金穗大厦,体育西路,5,1,1,1,700
198,2120,合,13,4,国投宿舍,小北,4,1,1,5,500
199,1880,合,18,2,南兴花园电梯区,天河客运站,4,1,1,3,1000
200,1800,合,10,2,顺景雅苑,中大,3,1,1,8,400
201,1680,合,11,4,云山锦绣家园,白云公园,5,1,1,12,150
202,1290,合,7,5,城市假日园,车陂,4,1,1,4,850
203,1980,合,14,7,青柳大街小区,江南西,4,1,1,-1,-1
204,1420,合,8,4,金丰花园,大塘,4,1,1,3,1200
205,1370,合,7,11,天力居,东圃,4,1,1,5,750
206,1160,合,11,3,东方明珠花苑,白云文化广场,5,1,1,2,550
207,1840,合,14,2,远洋小区,林和西,3,1,1,3,600
208,1940,合,11,17,翠湖山庄,天河公园,4,1,1,21,1000
209,1340,合,9,8,五仙花园,天平架,3,1,1,6,850
210,1180,合,8,2,白云畔山花园,京溪南方医院,4,1,1,3,900
211,1720,合,16,10,顺华名庭,中大,4,1,1,8,600
212,1310,合,13,1,白云畔山花园,京溪南方医院,4,1,1,3,900
213,1070,合,9,1,同和云苑新村,同和,3,1,1,3,400
214,1420,合,9,20,合一国际,同和,4,1,1,3,650
215,1490,合,9,2,华港花园沁园春,华景路,4,1,1,11,200
216,1380,合,8,11,金碧花园第三金碧,石溪,4,1,1,-1,300
217,1990,合,16,4,天河御品,京溪南方医院,3,1,1,3,550
218,1180,合,8,3,金逸雅居,裕丰围,3,1,1,13,200
219,1390,合,12,6,华荟明苑,洛溪,4,1,2,2,650
220,1330,合,10,3,中意花苑,飞翔公园,6,1,2,2,650
221,1330,合,9,7,康隆苑（电梯）,沙园,3,1,1,8,650
222,1530,合,8,7,太阳广场,华师,3,1,1,3,700
223,1200,合,9,12,贝丽花园,飞翔公园,4,1,1,12,1100
224,1010,合,9,4,东方花园又一村,番禺广场,4,1,1,3,850
225,1650,合,7,19,珠江帝景苑悦涛轩,广州塔,4,1,1,3,800
226,1330,合,9,14,南景园君兰轩,江泰路,4,1,1,2,550
227,1250,合,6,26,可逸豪苑,江南西,4,1,1,2,1000
228,1380,合,8,3,华建小区,天河公园,3,1,1,21,550
229,1690,合,9,20,华友大厦,杨箕,5,1,1,5,950
230,1610,合,7,3,珠江帝景苑赏湖轩,广州塔,5,1,1,3,550
231,1000,合,10,6,石化生活区,文冲,4,1,1,5,350
232,1830,合,9,7,珠江帝景苑赏湖轩,广州塔,5,1,1,3,550
233,1530,合,9,9,时代花生二期,天平架,3,1,1,6,700
234,1120,合,7,2,五仙花园,天平架,3,1,1,6,850
235,1010,合,7,3,洛涛居南区,洛溪,4,1,1,-1,-1
236,1450,合,9,15,江燕花园,江泰路,3,1,1,2,250
237,1840,合,19,10,富景花园,中大,3,1,1,8,350
238,1820,合,10,9,新港商厦,磨碟沙,4,1,1,8,300
239,1160,合,9,31,侨基花园,市桥,4,1,1,3,650
240,1850,合,14,3,珠江西苑,广州东站,3,1,1,1,550
241,1120,合,7,5,如意花园,洛溪,3,1,1,2,400
242,1780,合,21,24,金碧花园第二金碧,石溪,4,1,1,-1,300
243,1460,合,9,3,海珠半岛花园,中大,3,1,1,8,1300
244,1210,合,11,7,儒苑小区,江夏,4,1,1,2,400
245,1430,合,13,30,天河广场,车陂,4,1,1,4,800
246,2170,合,15,25,跑马地花园,潭村,5,1,1,5,800
247,2200,合,27,9,骏景花园1,车陂南,4,1,1,4,900
248,1300,合,8,11,云裳丽影,同和,4,1,1,3,450
249,1410,合,9,6,云景名都,京溪南方医院,4,1,1,3,350
250,1170,合,7,21,远锋大厦,凤凰新村,4,1,1,8,350
251,1410,合,8,6,保利林海山庄,植物园,3,1,1,6,650
252,1230,合,8,5,侨诚花园秋月苑,东晓南,3,1,1,2,400
253,1130,合,7,3,侨诚花园秋月苑,东晓南,3,1,1,2,400
254,1010,合,9,9,番禺海关宿舍,番禺广场,4,1,1,3,700
255,1910,合,23,2,春晖闲庭,永泰,5,1,1,3,300
256,1470,合,10,18,南景园清雅轩,江泰路,4,1,1,2,550
257,1150,合,9,4,芙蓉楼,大石,4,1,1,3,400
258,1370,合,9,17,宏宇广场,凤凰新村,3,1,1,8,950
259,1170,合,15,6,怡港花园,裕丰围,4,1,1,13,600
260,1440,合,8,24,海悦大厦,市二宫,4,1,2,2,850
261,1080,合,9,2,同和云苑新村,同和,4,1,1,3,400
262,1350,合,9,23,合一国际,同和,4,1,1,3,650
263,1850,合,14,13,泓景花园,赤岗,4,1,1,8,700
264,1190,合,7,30,天河广场,车陂,4,1,1,4,800
265,1760,合,10,11,富景花园,中大,3,1,1,8,350
266,1320,合,8,19,豪景花园,天平架,3,1,1,6,750
267,1210,合,9,2,金碧雅苑,黄边,4,1,1,2,450
268,1390,合,10,4,益鹏翠苑,南洲,4,1,1,2,550
269,1530,合,9,5,绿茵翠庭,客村,3,1,1,3,1100
270,1220,合,9,3,白云畔山花园,京溪南方医院,4,1,1,3,900
271,1360,合,10,5,景晖苑小区,天河客运站,5,1,1,3,900
272,1490,合,15,9,京溪尚苑,京溪南方医院,4,1,1,3,700
273,2020,合,9,7,安骏大厦,潭村,3,1,1,5,700
274,1160,合,7,4,翠怡小区,江泰路,4,1,1,2,50
275,2000,合,16,5,绿佳花园,燕塘,4,1,1,3,450
276,2370,合,18,16,春晖苑,广州东站,4,1,1,1,1000
277,1350,合,11,11,阳华国花苑,棠东,4,1,1,4,1550
278,1590,合,25,14,智景花苑,车陂,4,1,1,4,500
279,1130,合,10,8,今日丽舍,大石,4,1,1,3,750
280,1510,合,16,7,民航小区康寿街,飞翔公园,3,1,1,2,1050
281,1800,合,25,14,美景花苑,车陂,4,1,1,4,250
282,2010,合,20,14,美景花苑,车陂,4,1,1,4,250
283,1370,合,10,8,金晖花苑,燕塘,4,1,1,3,700
284,2130,合,13,9,中旅侨苑,昌岗,3,1,1,8,500
285,1910,合,9,10,珠江帝景苑赏湖轩,广州塔,4,1,1,3,550
286,2000,合,12,9,丽晶大厦,淘金,3,1,1,5,200
287,1860,合,10,4,文德先生,北京路,3,1,1,6,250
288,1550,合,8,24,鸿景园,华师,4,1,1,3,550
289,1010,合,9,12,东骏苑,番禺广场,4,1,1,-1,-1
290,1330,合,9,1,圣地摩坊公馆,梅花园,4,1,1,3,600
291,1210,合,16,6,港湾三村,大沙地,3,1,1,5,150
292,1470,合,12,7,金碧花园第二金碧,石溪,3,1,1,-1,300
293,1910,合,23,8,光大花园榕上居,沙园,4,1,1,8,500
294,2510,合,17,18,天晖阁,石牌桥,4,1,1,3,550
295,2100,合,9,11,荟雅苑,林和西,4,1,1,3,350
296,2210,合,8,20,丽晶华庭银莱阁,珠江新城,4,1,1,3,500
297,1360,合,18,5,怡港花园,裕丰围,4,1,1,13,600
298,1690,合,27,3,春晖闲庭,永泰,4,1,1,3,300
299,1440,合,7,5,穗园小区,华师,4,1,1,3,850
300,1610,合,55,2,同和云苑新村,同和,4,1,1,3,400
301,1030,合,9,11,东怡新区东雅园,番禺广场,6,1,2,3,700
302,2170,合,13,21,共和西苑,杨箕,4,1,1,-1,-1
303,2050,合,14,10,合生颐景华苑,东晓南,3,1,1,2,200
304,1230,合,10,9,天健上城,棠东,5,1,1,21,1100
305,1530,合,24,17,兴业花园,番禺广场,5,1,1,3,850
306,2400,合,18,10,金穗大厦,体育西路,5,1,1,1,700
307,2430,合,18,11,中海名都,市二宫,4,1,1,2,750
308,1170,合,13,4,云涛花园,同和,4,1,1,3,150
309,1740,合,18,30,兰亭盛荟,东圃,4,1,1,5,650
310,1510,合,16,15,远洋明苑,东圃,3,1,1,5,1450
311,1460,合,10,15,兰亭盛荟,东圃,4,1,1,5,650
312,1240,合,9,6,乐意居花苑,天河客运站,3,1,1,3,1250
313,1850,合,9,5,珠江帝景苑赏湖轩,广州塔,4,1,1,3,550
314,1350,合,7,11,叠彩园翡翠轩,鹭江,4,1,1,8,1100
315,2050,合,19,9,东翠花园,晓港,4,1,1,-1,-1
316,1070,合,11,7,丰乐小区,大沙东,4,1,1,5,450
317,1020,合,17,5,文苑花园,文冲,3,1,1,-1,-1
318,1340,合,10,5,侨乐新村,天平架,4,1,1,6,450
319,1810,合,12,21,御晖苑,林和西,3,1,1,3,1050
320,1910,合,12,3,广信晖景大厦,五羊邨,4,1,1,5,400
321,1270,合,15,3,东怡新区东倩园,番禺广场,4,1,1,3,550
322,1460,合,9,14,旭景家园A区,黄村（广州）,5,1,1,4,800
323,1900,合,23,5,临江花园,员村,4,1,1,-1,-1
324,1320,合,12,4,祥辉苑,大沙东,4,1,1,5,600
325,2060,合,15,7,金沙花园,凤凰新村,4,1,1,-1,-1
326,2500,合,25,2,东方新世界,华景路,3,1,1,11,300
327,1070,合,9,4,儒苑小区,江夏,4,1,1,2,400
328,1340,合,8,18,兰亭盛荟,东圃,4,1,1,5,650
329,1850,合,19,7,顺龙雅居,凤凰新村,4,1,1,8,350
330,1950,合,15,8,翠城花园,宝岗大道,3,1,1,8,350
331,1360,合,7,2,新燕花园C区,燕塘,4,1,1,3,200
332,960,合,9,5,美心翠拥华庭二期,番禺广场,4,1,1,-1,-1
333,2360,合,37,14,梅滨大厦,梅花园,4,1,1,3,700
334,940,合,9,5,东怡新区东雅园,番禺广场,4,1,1,3,700
335,1460,合,18,2,侨诚花园夏晖苑,东晓南,4,1,1,2,250
336,1150,合,7,3,五仙花园,天平架,4,1,1,6,850
337,1400,合,23,2,滨江绿园绿叶居,大石,4,1,1,-1,-1
338,2790,合,25,3,淘金街小区,淘金,3,1,1,5,350
339,900,合,7,3,美心翠拥华庭二期,番禺广场,4,1,1,-1,-1
340,2840,合,17,9,盈嘉花园,猎德,4,1,1,5,350
341,2020,合,21,6,春晖闲庭,永泰,5,1,1,3,300
342,1010,合,7,12,如意中心,洛溪,4,1,1,2,600
343,1980,合,20,7,顺龙雅居,凤凰新村,4,1,1,8,350
344,960,合,7,7,东方明珠花苑,白云文化广场,4,1,1,2,550
345,1110,合,8,8,黄埔雅苑,大沙东,4,1,1,5,550
346,2600,合,24,2,瑞心苑,燕塘,4,1,1,3,800
347,2220,合,15,20,帝景大厦,淘金,4,1,2,5,150
348,1270,合,14,8,集贤苑,嘉禾望岗,4,1,1,2,1100
349,1580,合,19,11,岭南新世界,嘉禾望岗,3,1,1,2,750
350,1310,合,19,9,悦涛雅苑,裕丰围,5,1,1,13,150
351,1850,合,15,23,坚真花园,大塘,4,1,1,3,650
352,1070,合,14,4,石化生活区,文冲,3,1,1,5,350
353,2320,合,20,3,淘金街小区,淘金,3,1,1,5,350
354,1350,合,12,2,黄埔花园,裕丰围,3,1,1,13,700
355,2270,合,22,10,云景花园云枫苑,京溪南方医院,4,1,1,3,550
356,2190,合,15,8,珠江帝景苑克莱国际公寓灏景轩,广州塔,5,1,1,3,500
357,2150,合,29,12,朗晴居一期,市二宫,5,1,1,2,350
358,2210,合,8,37,保利天悦花园,万胜围,4,1,1,8,750
359,2000,合,20,5,保利花园馨竹街,燕岗,4,1,1,11,750
360,930,合,7,3,机关村小区,大沙地,4,1,1,5,500
361,1060,合,8,3,侨基花园,市桥,4,1,1,3,650
362,2140,合,22,11,富景花园,中大,3,1,1,8,350
363,2180,合,17,13,利海假日轩,赤岗,3,1,1,8,600
364,2030,合,14,3,广信晖景大厦,五羊邨,4,1,1,5,400
365,3420,合,22,23,安骏大厦,潭村,4,1,1,5,700
366,910,合,7,9,悦涛雅苑,裕丰围,5,1,1,13,150
367,980,合,9,3,吉祥道小区,洛溪,5,1,1,2,400
368,2800,合,28,4,凯旋大厦,沙河顶,4,1,1,6,150
369,2530,合,22,30,金碧花园第三金碧,石溪,4,1,1,-1,300
370,820,合,6,24,东信华庭,番禺广场,5,1,1,-1,-1
371,3080,合,26,7,珠江帝景苑赏湖轩,广州塔,5,1,1,3,550
372,1510,合,18,4,京溪尚苑,京溪南方医院,4,1,1,3,700
373,1380,合,19,3,民航小区康寿街,飞翔公园,4,1,1,2,1050
374,1400,合,7,6,骏景花园1,车陂南,4,1,1,4,900
375,1360,合,12,2,白云畔山花园,京溪南方医院,4,1,1,3,900
376,1480,合,10,3,时代花生二期,天平架,3,1,1,6,700
377,1380,合,11,2,五仙花园,天平架,3,1,1,6,850
378,1630,合,14,16,美林海岸花园,科韵路,6,1,2,5,650
379,1420,合,8,6,富力现代广场,凤凰新村,4,1,1,8,300
380,1390,合,8,16,富力现代广场,凤凰新村,4,1,1,8,300
381,1010,合,8,6,景观苑,飞翔公园,4,1,1,2,800
382,1250,合,15,4,同和云苑新村,同和,3,1,1,3,400
383,1290,合,10,3,万华花园-四季轩,东晓南,4,1,1,2,550
384,1460,合,15,3,白云交警宿舍,京溪南方医院,4,1,1,3,900
385,1930,合,16,2,金碧花园第三金碧,石溪,4,1,1,-1,300
386,1000,合,7,3,民航小区康寿街,飞翔公园,4,1,1,2,1050
387,1820,合,9,8,广信顺景大厦,杨箕,3,1,1,1,500
388,1100,合,12,4,东秀园,番禺广场,4,1,1,3,500
389,1410,合,8,13,富力现代广场,凤凰新村,4,1,1,8,300
390,1420,合,8,2,骏景花园1,车陂南,4,1,1,4,900
391,1520,合,14,12,五星阁,燕塘,4,1,1,3,650
392,1280,合,10,2,橡树园,燕塘,4,1,1,3,900
393,1090,合,6,6,橡树园,燕塘,4,1,1,3,900
394,1350,合,18,6,黄猄坳路81号家属区,梅花园,4,1,1,3,350
395,1280,合,8,4,源泉广场,长湴,3,1,1,6,550
396,1320,合,9,9,擎山苑,京溪南方医院,4,1,1,3,800
397,1610,合,7,32,芭堤水岸,鹭江,4,1,1,8,950
398,1550,合,11,15,罗马家园,沥滘,3,1,1,3,600
399,1340,合,13,1,白云畔山花园,京溪南方医院,3,1,1,3,900
400,1620,合,8,9,珠江广场,鹭江,4,1,1,8,800
401,1450,合,11,2,恒骏花园,京溪南方医院,4,1,1,3,300
402,1370,合,11,5,金碧花园第二金碧,石溪,4,1,1,-1,300
403,1800,合,15,3,云景花园云桂苑,京溪南方医院,4,1,1,3,300
404,1330,合,10,2,前进路127号,江南西,4,1,1,2,700
405,1710,合,11,2,翠园（广州客村）,客村,6,1,2,3,650
406,1460,合,12,11,侨乐新村,天平架,4,1,1,6,450
407,1960,合,13,6,华苑大厦,体育西路,4,1,1,1,600
408,1790,合,8,24,东海嘉园,杨箕,5,1,1,1,400
409,1330,合,9,13,东景花园,车陂,3,1,1,4,300
